,,,,,Type,W,L,Win %,Units,Total Plays,ROI,,,,,,
HOME,October,219.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.90,Monday,45,-4.89,❌,lose,-1.00,UN
HOME,October,222.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.25,Monday,46,-5.89,❌,win,1.25,UN
AWAY,October,224,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.80,Monday,47,-6.89,❌,lose,-1.00,OV
HOME,October,231,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.70,Monday,48,-7.89,❌,win,1.7,OV
AWAY,October,220,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Monday,49,-6.98,✅,lose,-1.00,UN
HOME,October,232,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.00,Monday,50,-7.98,❌,lose,-1.00,UN
HOME,October,228.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.60,Monday,51,-8.98,❌,lose,-1.00,UN
AWAY,October,218.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.75,Tuesday,52,-9.98,❌,lose,-1.00,OV
HOME,October,220.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.50,Tuesday,53,-10.98,❌,win,1.5,OV
AWAY,October,234.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.10,Tuesday,54,-10.07,✅,lose,-1.00,UN
AWAY,October,217.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.05,Tuesday,55,-11.07,❌,win,1.05,OV
HOME,October,224.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.95,Wednesday,56,-12.07,❌,lose,-1.00,OV
HOME,October,226.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.45,Wednesday,57,-11.16,✅,lose,-1.00,OV
AWAY,October,235.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.25,Wednesday,58,-12.16,❌,win,2.25,OV
HOME,October,219.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.50,Wednesday,59,-13.16,❌,win,1.5,UN
AWAY,October,233,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.65,Wednesday,60,-14.16,❌,win,1.65,OV
AWAY,October,214.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.05,Wednesday,61,-13.25,✅,lose,-1.00,OV
AWAY,October,228.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.75,Wednesday,62,-14.25,❌,win,1.75,UN
HOME,October,225,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.00,Wednesday,63,-15.25,❌,win,5,PUSH
HOME,October,221,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.25,Wednesday,64,-16.25,❌,lose,-1.00,UN
HOME,October,219.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.45,Wednesday,65,-15.34,✅,lose,-1.00,UN
HOME,October,219,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,3.70,Wednesday,66,-16.34,❌,win,2.7,UN
AWAY,October,230.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.00,Thursday,67,-17.34,❌,win,2,UN
HOME,October,226,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.10,Thursday,68,-18.34,❌,win,2.1,UN
AWAY,October,219.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Thursday,69,-17.43,✅,lose,-1.00,UN
AWAY,October,220.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.50,Thursday,70,-16.52,✅,lose,-1.00,OV
AWAY,November,233.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,4.90,Friday,71,-15.61,✅,lose,-1.00,UN
HOME,November,216.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.45,Friday,72,-14.70,✅,lose,-1.00,OV
AWAY,November,218,NBA,,1.00,SPREAD,1.91,win,0.91,3.25,Friday,73,-13.79,✅,lose,-1.00,OV
AWAY,November,236,NBA,,1.00,SPREAD,1.91,win,0.91,2.90,Friday,74,-12.88,✅,lose,-1.00,OV
HOME,November,228.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.00,Friday,75,-11.97,✅,lose,-1.00,OV
AWAY,November,232.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.10,Friday,76,-12.97,❌,lose,-1.00,OV
HOME,November,231.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.55,Friday,77,-13.97,❌,win,1.55,OV
HOME,November,219,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.40,Friday,78,-14.97,❌,lose,-1.00,OV
AWAY,November,220.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,5.50,Friday,79,-14.06,✅,lose,-1.00,OV
AWAY,November,231,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,5.00,Saturday,80,-15.06,❌,lose,-1.00,UN
AWAY,November,235.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.20,Saturday,81,-16.06,❌,win,3.2,OV
HOME,November,217.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.60,Saturday,82,-17.06,❌,win,1.6,OV
HOME,November,230.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.10,Saturday,83,-18.06,❌,win,1.1,UN
AWAY,November,214.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.45,Saturday,84,-19.06,❌,win,1.45,OV
AWAY,November,224.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.50,Saturday,85,-18.15,✅,lose,-1.00,UN
HOME,November,221.5,NBA,,1.00,SPREAD,1.91,win,0.91,5.25,Saturday,86,-17.24,✅,lose,-1.00,OV
HOME,November,228.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,7.00,Saturday,87,-18.24,❌,lose,-1.00,UN
AWAY,November,220.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.85,Saturday,88,-17.33,✅,lose,-1.00,UN
HOME,November,219.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.30,Sunday,89,-18.33,❌,win,1.3,UN
AWAY,November,226,NBA,,1.00,SPREAD,1.91,win,0.91,1.95,Sunday,90,-17.42,✅,lose,-1.00,OV
HOME,November,220.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,3.20,Sunday,91,-16.51,✅,lose,-1.00,UN
HOME,November,228.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.25,Monday,92,-17.51,❌,lose,-1.00,OV
AWAY,November,234,NBA,,1.00,SPREAD,1.91,win,0.91,4.50,Monday,93,-16.60,✅,lose,-1.00,OV
AWAY,November,225.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.30,Monday,94,-17.60,❌,win,2.3,UN
AWAY,November,232.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.75,Monday,95,-16.69,✅,lose,-1.00,UN
AWAY,November,223.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.60,Monday,96,-17.69,❌,win,1.6,UN
HOME,November,229.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.40,Monday,97,-18.69,❌,win,2.4,OV
AWAY,November,217.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.10,Monday,98,-19.69,❌,win,1.1,UN
HOME,November,225.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.50,Monday,99,-18.78,✅,lose,-1.00,UN
HOME,November,217.5,NBA,,1.00,SPREAD,1.91,win,0.91,6.75,Monday,100,-17.87,✅,lose,-1.00,UN
HOME,November,236.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.60,Monday,101,-18.87,❌,win,1.6,OV
HOME,November,231.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.00,Monday,102,-19.87,❌,lose,-1.00,OV
HOME,November,222,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.35,Monday,103,-20.87,❌,lose,-1.00,OV
HOME,November,215.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.25,Monday,104,-19.96,✅,lose,-1.00,OV
HOME,November,223,NBA,FG,1.00,SPREAD,1.91,win,0.91,1.95,Wednesday,105,-19.05,✅,lose,-1.00,UN
HOME,November,226.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.75,Wednesday,106,-18.14,✅,lose,-1.00,OV
AWAY,November,226.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.25,Wednesday,107,-19.14,❌,win,2.25,OV
HOME,November,228.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.20,Wednesday,108,-20.14,❌,win,2.2,OV
