,,,,,Type,W,L,Win %,Units,Total Plays,ROI,,,,,,
HOME,March,224.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Monday,1041,-80.27,✅,lose,-1.00,UN
HOME,March,239,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.20,Monday,1042,-81.27,❌,win,1.2,OV
HOME,March,222.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.35,Monday,1043,-82.27,❌,lose,-1.00,UN
AWAY,March,224,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.65,Monday,1044,-81.36,✅,lose,-1.00,UN
AWAY,March,213.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.65,Tuesday,1045,-80.45,✅,lose,-1.00,OV
HOME,March,233.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.75,Tuesday,1046,-79.54,✅,lose,-1.00,UN
AWAY,March,208,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.55,Tuesday,1047,-80.54,❌,win,1.55,OV
HOME,March,226.5,NBA,,1.00,SPREAD,1.91,win,0.91,5.25,Tuesday,1048,-79.63,✅,lose,-1.00,UN
HOME,March,235.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.35,Tuesday,1049,-80.63,❌,lose,-1.00,UN
AWAY,March,240.5,NBA,,1.00,SPREAD,1.91,win,0.91,5.00,Tuesday,1050,-79.72,✅,lose,-1.00,OV
AWAY,March,230,NBA,,1.00,SPREAD,1.91,win,0.91,3.10,Tuesday,1051,-78.81,✅,lose,-1.00,OV
AWAY,March,230,NBA,LG,1.00,SPREAD,1.91,win,0.91,4.25,Tuesday,1052,-77.90,✅,lose,-1.00,UN
HOME,March,230.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.25,Wednesday,1053,-78.90,❌,win,1.25,OV
HOME,March,215.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.15,Wednesday,1054,-79.90,❌,win,1.15,UN
AWAY,March,219,NBA,,1.00,SPREAD,1.91,win,0.91,2.55,Wednesday,1055,-78.99,✅,lose,-1.00,OV
HOME,March,225.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.00,Wednesday,1056,-79.99,❌,lose,-1.00,OV
AWAY,March,221,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.60,Wednesday,1057,-79.08,✅,lose,-1.00,OV
HOME,March,236.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,7.25,Thursday,1058,-80.08,❌,lose,-1.00,OV
HOME,March,217.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.10,Thursday,1059,-81.08,❌,win,2.1,UN
AWAY,March,235.5,NBA,,1.00,SPREAD,1.91,win,0.91,6.75,Thursday,1060,-80.17,✅,lose,-1.00,OV
HOME,March,224.5,NBA,,1.00,SPREAD,1.91,win,0.91,1.95,Thursday,1061,-79.26,✅,lose,-1.00,OV
AWAY,March,238,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.50,Thursday,1062,-80.26,❌,win,1.5,UN
HOME,March,237,NBA,,1.00,SPREAD,1.91,win,0.91,4.75,Thursday,1063,-79.35,✅,lose,-1.00,UN
AWAY,March,226,NBA,,1.00,SPREAD,1.91,lose,-1.00,7.00,Thursday,1064,-80.35,❌,lose,-1.00,OV
HOME,March,227.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.85,Thursday,1065,-79.44,✅,lose,-1.00,OV
AWAY,March,231.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.10,Friday,1066,-80.44,❌,win,2.1,OV
AWAY,March,213.5,NBA,,1.00,SPREAD,1.91,win,0.91,6.50,Friday,1067,-79.53,✅,lose,-1.00,OV
HOME,March,215,NBA,,1.00,SPREAD,1.91,win,0.91,2.85,Friday,1068,-78.62,✅,lose,-1.00,UN
HOME,March,219,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.00,Friday,1069,-79.62,❌,win,1,OV
HOME,March,224,NBA,,1.00,SPREAD,1.91,win,0.91,3.40,Friday,1070,-78.71,✅,lose,-1.00,OV
HOME,March,239,NBA,LG,1.00,SPREAD,1.91,win,0.91,12.00,Friday,1071,-77.80,✅,lose,-1.00,UN
HOME,March,220.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.10,Saturday,1072,-78.80,❌,win,1.1,OV
AWAY,March,215,NBA,,1.00,SPREAD,1.91,win,0.91,3.75,Saturday,1073,-77.89,✅,lose,-1.00,UN
HOME,March,237.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.20,Saturday,1074,-78.89,❌,win,1.2,OV
HOME,March,239.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.10,Saturday,1075,-79.89,❌,win,1.1,OV
HOME,March,236,NBA,,1.00,SPREAD,1.91,win,0.91,4.25,Saturday,1076,-78.98,✅,lose,-1.00,OV
AWAY,March,230,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,6.25,Saturday,1077,-79.98,❌,lose,-1.00,OV
HOME,March,230.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.25,Sunday,1078,-80.98,❌,lose,-1.00,OV
HOME,March,220,NBA,,1.00,SPREAD,1.91,win,0.91,3.60,Sunday,1079,-80.07,✅,lose,-1.00,UN
HOME,March,235,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.50,Sunday,1080,-81.07,❌,win,1.5,OV
HOME,March,225.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.25,Sunday,1081,-80.16,✅,lose,-1.00,OV
HOME,March,213,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Sunday,1082,-79.25,✅,lose,-1.00,UN
AWAY,March,230.5,NBA,,1.00,SPREAD,1.91,win,0.91,5.50,Sunday,1083,-78.34,✅,lose,-1.00,OV
AWAY,March,223.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.00,Sunday,1084,-77.43,✅,lose,-1.00,OV
AWAY,March,221,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.15,Sunday,1085,-76.52,✅,lose,-1.00,OV
HOME,March,222,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.40,Monday,1086,-75.61,✅,lose,-1.00,UN
HOME,March,235.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.45,Monday,1087,-76.61,❌,lose,-1.00,UN
AWAY,March,211,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Monday,1088,-75.70,✅,lose,-1.00,UN
AWAY,March,216,NBA,,1.00,SPREAD,1.91,win,0.91,4.25,Monday,1089,-74.79,✅,lose,-1.00,UN
AWAY,March,236.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.45,Monday,1090,-73.88,✅,lose,-1.00,UN
HOME,March,240,NBA,,1.00,SPREAD,1.91,win,0.91,7.50,Monday,1091,-72.97,✅,lose,-1.00,OV
HOME,March,218,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.50,Monday,1092,-73.97,❌,win,3.5,OV
HOME,March,226.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.45,Monday,1093,-73.06,✅,lose,-1.00,UN
HOME,April,236.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.80,Tuesday,1094,-74.06,❌,win,1.8,OV
HOME,April,225.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.20,Tuesday,1095,-73.15,✅,lose,-1.00,OV
HOME,April,219,NBA,,1.00,SPREAD,1.91,win,0.91,7.00,Tuesday,1096,-72.24,✅,lose,-1.00,UN
HOME,April,237.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.45,Tuesday,1097,-71.33,✅,lose,-1.00,OV
AWAY,April,239,NBA,,1.00,SPREAD,1.91,win,0.91,2.45,Tuesday,1098,-70.42,✅,lose,-1.00,OV
AWAY,April,217,NBA,,1.00,SPREAD,1.91,win,0.91,2.65,Tuesday,1099,-69.51,✅,lose,-1.00,OV
HOME,April,229.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.10,Tuesday,1100,-70.51,❌,win,1.1,OV
HOME,April,231.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,4.90,Wednesday,1101,-69.60,✅,lose,-1.00,UN
HOME,April,222.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,8.50,Wednesday,1102,-70.60,❌,lose,-1.00,OV
AWAY,April,232,NBA,,1.00,SPREAD,1.91,lose,-1.00,7.00,Wednesday,1103,-71.60,❌,win,6,UN
HOME,April,212,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.90,Wednesday,1104,-72.60,❌,win,3.9,OV
HOME,April,228.5,NBA,,1.00,SPREAD,1.91,win,0.91,9.50,Wednesday,1105,-71.69,✅,lose,-1.00,OV
HOME,April,241,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.35,Wednesday,1106,-72.69,❌,lose,-1.00,UN
HOME,April,227,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.20,Wednesday,1107,-73.69,❌,win,1.2,UN
HOME,April,233.5,NBA,,1.00,SPREAD,1.91,win,0.91,7.00,Wednesday,1108,-72.78,✅,lose,-1.00,UN
HOME,April,219,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,12.00,Wednesday,1109,-73.78,❌,lose,-1.00,UN
AWAY,April,227.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,6.00,Thursday,1110,-72.87,✅,lose,-1.00,OV
AWAY,April,212.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,10.00,Thursday,1111,-73.87,❌,lose,-1.00,UN
AWAY,April,216,NBA,,1.00,SPREAD,1.91,win,0.91,7.50,Thursday,1112,-72.96,✅,lose,-1.00,UN
AWAY,April,226,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.80,Thursday,1113,-73.96,❌,lose,-1.00,UN
AWAY,April,223,NBA,,1.00,SPREAD,1.91,win,0.91,2.60,Thursday,1114,-73.05,✅,lose,-1.00,UN
HOME,April,230,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,1.95,Thursday,1115,-74.05,❌,win,0.95,OV
AWAY,April,216.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,4.90,Friday,1116,-73.14,✅,lose,-1.00,OV
HOME,April,239,NBA,,1.00,SPREAD,1.91,win,0.91,10.00,Friday,1117,-72.23,✅,lose,-1.00,OV
HOME,April,226.5,NBA,,1.00,SPREAD,1.91,win,0.91,8.00,Friday,1118,-71.32,✅,lose,-1.00,UN
AWAY,April,225.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.75,Friday,1119,-70.41,✅,lose,-1.00,UN
HOME,April,234.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.10,Friday,1120,-71.41,❌,lose,-1.00,UN
AWAY,April,227,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.95,Friday,1121,-72.41,❌,win,1.95,OV
AWAY,April,241.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.50,Friday,1122,-73.41,❌,lose,-1.00,UN
HOME,April,236.5,NBA,,1.00,SPREAD,1.91,win,0.91,1.95,Friday,1123,-72.50,✅,lose,-1.00,UN
HOME,April,226,NBA,,1.00,SPREAD,1.91,win,0.91,5.75,Friday,1124,-71.59,✅,lose,-1.00,UN
HOME,April,223,NBA,LG,1.00,SPREAD,1.91,win,0.91,9.00,Friday,1125,-70.68,✅,lose,-1.00,OV
AWAY,April,235.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.05,Saturday,1126,-69.77,✅,lose,-1.00,UN
AWAY,April,242.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Saturday,1127,-68.86,✅,lose,-1.00,UN
AWAY,April,224,NBA,,1.00,SPREAD,1.91,lose,-1.00,9.50,Saturday,1128,-69.86,❌,lose,-1.00,UN
AWAY,April,209.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.05,Saturday,1129,-68.95,✅,lose,-1.00,OV
HOME,April,221.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,4.20,Saturday,1130,-68.04,✅,lose,-1.00,OV
AWAY,April,223.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,4.20,Sunday,1131,-67.13,✅,lose,-1.00,OV
AWAY,April,215.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.15,Sunday,1132,-66.22,✅,lose,-1.00,OV
HOME,April,231,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.00,Sunday,1133,-67.22,❌,win,3,UN
HOME,April,245,NBA,,1.00,SPREAD,1.91,win,0.91,6.50,Sunday,1134,-66.31,✅,lose,-1.00,OV
HOME,April,226.5,NBA,,1.00,SPREAD,1.91,win,0.91,12.00,Sunday,1135,-65.40,✅,lose,-1.00,UN
HOME,April,236.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.50,Sunday,1136,-66.40,❌,win,3.5,UN
HOME,April,227,NBA,,1.00,SPREAD,1.91,win,0.91,2.50,Sunday,1137,-65.49,✅,lose,-1.00,OV
HOME,April,225,NBA,,1.00,SPREAD,1.91,win,0.91,4.20,Sunday,1138,-64.58,✅,lose,-1.00,UN
HOME,April,240,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.05,Sunday,1139,-65.58,❌,win,2.05,OV
HOME,April,226,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.70,Sunday,1140,-66.58,❌,win,1.7,UN
AWAY,April,218,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.90,Sunday,1141,-67.58,❌,lose,-1.00,PUSH
HOME,April,230.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.85,Monday,1142,-68.58,❌,win,1.85,OV
HOME,April,217,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,6.00,Monday,1143,-69.58,❌,lose,-1.00,OV
AWAY,April,229.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,8.00,Tuesday,1144,-68.67,✅,lose,-1.00,UN
HOME,April,238.5,NBA,,1.00,SPREAD,1.91,win,0.91,8.00,Tuesday,1145,-67.76,✅,lose,-1.00,OV
HOME,April,236,NBA,,1.00,SPREAD,1.91,lose,-1.00,13.00,Tuesday,1146,-68.76,❌,lose,-1.00,UN
HOME,April,225.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.55,Tuesday,1147,-67.85,✅,lose,-1.00,OV
HOME,April,213.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.00,Tuesday,1148,-66.94,✅,lose,-1.00,OV
AWAY,April,224.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.00,Tuesday,1149,-67.94,❌,lose,-1.00,OV
AWAY,April,222.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.90,Tuesday,1150,-68.94,❌,win,1.9,UN
HOME,April,230,NBA,,1.00,SPREAD,1.91,win,0.91,4.20,Tuesday,1151,-68.03,✅,lose,-1.00,OV
AWAY,April,227,NBA,,1.00,SPREAD,1.91,win,0.91,4.50,Tuesday,1152,-67.12,✅,lose,-1.00,OV
HOME,April,229,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,6.50,Tuesday,1153,-68.12,❌,lose,-1.00,OV
HOME,April,206.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,3.70,Wednesday,1154,-67.21,✅,lose,-1.00,UN
AWAY,April,225,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Wednesday,1155,-66.30,✅,lose,-1.00,PUSH
AWAY,April,226,NBA,,1.00,SPREAD,1.91,win,0.91,2.65,Wednesday,1156,-65.39,✅,lose,-1.00,UN
HOME,April,219.5,NBA,,1.00,SPREAD,1.91,win,0.91,5.25,Wednesday,1157,-64.48,✅,lose,-1.00,OV
AWAY,April,227.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.10,Wednesday,1158,-65.48,❌,win,1.1,OV
AWAY,April,229,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.20,Wednesday,1159,-66.48,❌,win,2.2,OV
HOME,April,233,NBA,,1.00,SPREAD,1.91,lose,-1.00,10.50,Wednesday,1160,-67.48,❌,win,9.5,UN
AWAY,April,228.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.30,Wednesday,1161,-66.57,✅,lose,-1.00,OV
AWAY,April,234.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.60,Wednesday,1162,-65.66,✅,lose,-1.00,OV
HOME,April,220,NBA,LG,1.00,SPREAD,1.91,win,0.91,4.50,Wednesday,1163,-64.75,✅,lose,-1.00,OV
HOME,April,229,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.40,Thursday,1164,-63.84,✅,lose,-1.00,UN
HOME,April,234.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.25,Thursday,1165,-64.84,❌,lose,-1.00,UN
AWAY,April,234.5,NBA,,1.00,SPREAD,1.91,win,0.91,7.00,Thursday,1166,-63.93,✅,lose,-1.00,OV
HOME,April,222.5,NBA,,1.00,SPREAD,1.91,win,0.91,9.00,Thursday,1167,-63.02,✅,lose,-1.00,OV
AWAY,April,230,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.15,Thursday,1168,-62.11,✅,lose,-1.00,OV
HOME,April,230,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.55,Friday,1169,-63.11,❌,win,1.55,OV
HOME,April,212.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.30,Friday,1170,-64.11,❌,win,1.3,OV
AWAY,April,240,NBA,,1.00,SPREAD,1.91,win,0.91,5.75,Friday,1171,-63.20,✅,lose,-1.00,UN
HOME,April,216,NBA,,1.00,SPREAD,1.91,win,0.91,13.50,Friday,1172,-62.29,✅,lose,-1.00,OV
HOME,April,223.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.30,Friday,1173,-63.29,❌,win,1.3,UN
HOME,April,238,NBA,,1.00,SPREAD,1.91,win,0.91,8.00,Friday,1174,-62.38,✅,lose,-1.00,UN
AWAY,April,214.5,NBA,,1.00,SPREAD,1.91,win,0.91,8.00,Friday,1175,-61.47,✅,lose,-1.00,OV
HOME,April,224,NBA,,1.00,SPREAD,1.91,win,0.91,5.25,Friday,1176,-60.56,✅,lose,-1.00,OV
HOME,April,245,NBA,,1.00,SPREAD,1.91,win,0.91,3.35,Friday,1177,-59.65,✅,lose,-1.00,UN
HOME,April,216.5,NBA,,1.00,SPREAD,1.91,win,0.91,14.00,Friday,1178,-58.74,✅,lose,-1.00,UN
AWAY,April,234,NBA,,1.00,SPREAD,1.91,win,0.91,4.00,Friday,1179,-57.83,✅,lose,-1.00,OV
HOME,April,232,NBA,,1.00,SPREAD,1.91,win,0.91,2.55,Friday,1180,-56.92,✅,lose,-1.00,UN
AWAY,April,222.5,NBA,,1.00,SPREAD,1.91,win,0.91,8.00,Friday,1181,-56.01,✅,lose,-1.00,UN
AWAY,April,224,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.20,Friday,1182,-57.01,❌,lose,-1.00,UN
HOME,April,228,NBA,LG,1.00,SPREAD,1.91,win,0.91,6.75,Friday,1183,-56.10,✅,lose,-1.00,OV
AWAY,April,217,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.25,Sunday,1184,-57.10,❌,win,1.25,OV
HOME,April,209.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.75,Sunday,1185,-58.10,❌,lose,-1.00,UN
AWAY,April,212,NBA,,1.00,SPREAD,1.91,win,0.91,2.50,Sunday,1186,-57.19,✅,lose,-1.00,OV
AWAY,April,226.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.10,Sunday,1187,-56.28,✅,lose,-1.00,OV
HOME,April,215.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.75,Sunday,1188,-57.28,❌,win,2.75,OV
AWAY,April,224,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.25,Sunday,1189,-58.28,❌,win,3.25,OV
AWAY,April,236.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.80,Sunday,1190,-57.37,✅,lose,-1.00,UN
HOME,April,219,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.35,Sunday,1191,-58.37,❌,win,1.35,OV
AWAY,April,235,NBA,,1.00,SPREAD,1.91,win,0.91,3.05,Sunday,1192,-57.46,✅,lose,-1.00,OV
AWAY,April,228,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.10,Sunday,1193,-58.46,❌,win,1.1,OV
HOME,April,233,NBA,,1.00,SPREAD,1.91,lose,-1.00,17.00,Sunday,1194,-59.46,❌,lose,-1.00,UN
AWAY,April,230.5,NBA,,1.00,SPREAD,1.91,win,0.91,6.25,Sunday,1195,-58.55,✅,lose,-1.00,UN
HOME,April,217.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.80,Sunday,1196,-57.64,✅,lose,-1.00,UN
HOME,April,222.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,7.50,Sunday,1197,-58.64,❌,lose,-1.00,UN
HOME,April,232.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.50,Sunday,1198,-57.73,✅,lose,-1.00,OV
HOME,October,225.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.10,Tuesday,1199,-58.73,❌,lose,-1.00,OV
AWAY,October,227.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.20,Tuesday,1200,-57.82,✅,lose,-1.00,OV
HOME,October,228.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.70,Wednesday,1201,-56.91,✅,lose,-1.00,OV
AWAY,October,229,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.00,Wednesday,1202,-57.91,❌,win,1,OV
HOME,October,216,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.80,Wednesday,1203,-58.91,❌,lose,-1.00,OV
HOME,October,237.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.85,Wednesday,1204,-59.91,❌,win,1.85,OV
HOME,October,229.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.75,Wednesday,1205,-60.91,❌,win,1.75,OV
AWAY,October,236.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.30,Wednesday,1206,-61.91,❌,win,1.3,UN
HOME,October,236.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.45,Wednesday,1207,-61.00,✅,lose,-1.00,OV
HOME,October,228,NBA,,1.00,SPREAD,1.91,win,0.91,4.50,Wednesday,1208,-60.09,✅,lose,-1.00,OV
AWAY,October,225.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.20,Wednesday,1209,-61.09,❌,win,3.2,OV
HOME,October,224,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.35,Wednesday,1210,-62.09,❌,win,1.35,UN
HOME,October,228.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.40,Wednesday,1211,-61.18,✅,lose,-1.00,OV
AWAY,October,221.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.60,Wednesday,1212,-62.18,❌,lose,-1.00,OV
AWAY,October,231.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.50,Thursday,1213,-63.18,❌,lose,-1.00,OV
HOME,October,233,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.05,Thursday,1214,-62.27,✅,lose,-1.00,OV
HOME,October,235.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.10,Friday,1215,-63.27,❌,win,1.1,OV
HOME,October,235.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.95,Friday,1216,-64.27,❌,win,1.95,UN
AWAY,October,230,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.00,Friday,1217,-65.27,❌,lose,-1.00,OV
HOME,October,231.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.55,Friday,1218,-64.36,✅,lose,-1.00,UN
HOME,October,227,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.10,Friday,1219,-65.36,❌,win,2.1,UN
HOME,October,233.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.30,Friday,1220,-66.36,❌,win,1.3,OV
HOME,October,228.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.50,Friday,1221,-67.36,❌,win,3.5,UN
AWAY,October,226,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.05,Friday,1222,-68.36,❌,win,1.05,OV
AWAY,October,228,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.25,Friday,1223,-69.36,❌,win,1.25,OV
HOME,October,234.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.80,Friday,1224,-70.36,❌,lose,-1.00,UN
HOME,October,224.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,4.25,Friday,1225,-69.45,✅,lose,-1.00,OV
HOME,October,233,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.00,Saturday,1226,-70.45,❌,win,2,UN
AWAY,October,238,NBA,,1.00,SPREAD,1.91,win,0.91,3.75,Saturday,1227,-69.54,✅,lose,-1.00,UN
HOME,October,237,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.60,Saturday,1228,-70.54,❌,lose,-1.00,OV
HOME,October,240.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.15,Saturday,1229,-69.63,✅,lose,-1.00,UN
HOME,October,233.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,6.75,Saturday,1230,-68.72,✅,lose,-1.00,OV
HOME,October,227,NBA,,1.00,SPREAD,1.91,win,0.91,2.15,Sunday,1231,-67.81,✅,lose,-1.00,OV
HOME,October,234,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.10,Sunday,1232,-68.81,❌,lose,-1.00,UN
AWAY,October,229,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.25,Sunday,1233,-69.81,❌,win,1.25,UN
HOME,October,240,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.05,Sunday,1234,-70.81,❌,win,1.05,OV
HOME,October,227.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.75,Sunday,1235,-71.81,❌,lose,-1.00,UN
AWAY,October,231.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,1.95,Sunday,1236,-72.81,❌,win,0.95,OV
HOME,October,224.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.65,Sunday,1237,-73.81,❌,lose,-1.00,UN
HOME,October,224,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.30,Sunday,1238,-74.81,❌,win,1.3,OV
AWAY,October,231.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.20,Monday,1239,-73.90,✅,lose,-1.00,UN
AWAY,October,227.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.95,Monday,1240,-74.90,❌,win,1.95,OV
AWAY,October,243.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.25,Monday,1241,-75.90,❌,win,1.25,OV
HOME,October,225,NBA,,1.00,SPREAD,1.91,win,0.91,9.00,Monday,1242,-74.99,✅,lose,-1.00,OV
AWAY,October,230.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.60,Monday,1243,-74.08,✅,lose,-1.00,UN
HOME,October,232,NBA,,1.00,SPREAD,1.91,win,0.91,2.60,Monday,1244,-73.17,✅,lose,-1.00,UN
AWAY,October,226.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.00,Monday,1245,-74.17,❌,lose,-1.00,UN
HOME,October,230,NBA,,1.00,SPREAD,1.91,win,0.91,2.05,Monday,1246,-73.26,✅,lose,-1.00,OV
AWAY,October,229.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.00,Monday,1247,-72.35,✅,lose,-1.00,OV
HOME,October,239.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.70,Monday,1248,-71.44,✅,lose,-1.00,OV
AWAY,October,227.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.30,Monday,1249,-70.53,✅,lose,-1.00,OV
AWAY,October,239.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.60,Tuesday,1250,-69.62,✅,lose,-1.00,OV
